Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,128.399994,128.440002,125.250000,126.320000,119.687515,2108100
2021-01-05,126.230003,127.860001,126.010002,127.209999,120.530792,677600
2021-01-06,127.830002,130.990005,127.769997,130.119995,123.287979,986200
2021-01-07,131.059998,131.699997,130.639999,131.139999,124.254456,732400
2021-01-08,131.369995,131.529999,129.990005,131.220001,124.330238,558200
2021-01-11,130.179993,131.470001,130.080002,131.270004,124.377625,746100
2021-01-12,131.410004,132.050003,131.029999,131.800003,124.879799,980800
2021-01-13,131.809998,132.190002,131.339996,131.729996,124.813461,471400
2021-01-14,132.190002,132.910004,131.940002,132.179993,125.239845,684900
2021-01-15,131.149994,131.470001,130.029999,130.970001,124.093369,638600
2021-01-19,131.839996,131.850006,131.210007,131.419998,124.519745,648700
2021-01-20,131.839996,132.199997,131.240005,131.979996,125.050316,465700
2021-01-21,131.919998,132.000000,131.050003,131.279999,124.387077,549200
2021-01-22,130.130005,130.690002,129.770004,130.279999,123.439583,646300
2021-01-25,129.729996,130.220001,128.850006,130.210007,123.373276,740000
2021-01-26,130.699997,130.770004,129.690002,129.699997,122.890053,551100
2021-01-27,128.130005,128.210007,126.220001,126.750000,120.094948,983200
2021-01-28,127.760002,129.419998,127.639999,128.279999,121.544609,692900
2021-01-29,127.690002,128.220001,125.470001,125.980003,119.365372,868100
2021-02-01,127.000000,127.610001,126.150002,127.070000,120.398132,734700
2021-02-02,128.279999,129.660004,128.190002,128.889999,122.122574,532800
2021-02-03,128.850006,129.679993,128.619995,129.419998,122.624756,414700
2021-02-04,129.649994,131.210007,129.550003,131.130005,124.244972,943200
2021-02-05,132.130005,132.289993,131.550003,131.770004,124.851357,635400
2021-02-08,132.259995,133.149994,132.259995,133.149994,126.158913,489700
2021-02-09,132.910004,133.279999,132.410004,133.070007,126.083122,331800
2021-02-10,133.669998,133.669998,132.529999,133.229996,126.234703,373800
2021-02-11,133.490005,133.679993,132.289993,133.139999,126.149429,416500
2021-02-12,132.850006,133.850006,132.800003,133.770004,126.746376,628200
2021-02-16,134.440002,134.460007,133.720001,134.050003,127.011650,461600
2021-02-17,133.729996,134.600006,133.229996,134.470001,127.409599,504700
2021-02-18,133.880005,134.220001,133.289993,133.919998,126.888466,504200
2021-02-19,134.389999,134.770004,134.250000,134.339996,127.286423,2243100
2021-02-22,133.899994,135.679993,133.899994,135.220001,128.120224,570700
2021-02-23,135.550003,136.169998,134.460007,135.740005,128.612915,1626800
2021-02-24,135.910004,138.039993,135.660004,137.750000,130.517365,1094500
2021-02-25,137.830002,137.919998,134.690002,135.179993,128.082336,1117400
2021-02-26,135.460007,135.460007,132.979996,133.410004,126.405251,1221200
2021-03-01,135.300003,137.119995,135.300003,136.300003,129.143524,1097000
2021-03-02,136.360001,136.830002,135.759995,135.960007,128.821381,1613700
2021-03-03,136.000000,137.300003,135.880005,135.940002,128.802429,1679300
2021-03-04,135.949997,136.729996,132.789993,134.550003,127.485413,2213800
2021-03-05,136.139999,137.869995,134.029999,137.399994,130.185776,3151300
2021-03-08,138.259995,140.509995,137.839996,139.009995,131.711212,3379800
2021-03-09,139.360001,140.179993,138.600006,138.649994,131.370102,2455800
2021-03-10,139.169998,140.949997,139.130005,140.500000,133.122986,2435400
2021-03-11,140.779999,141.619995,140.190002,140.570007,133.189316,1214300
2021-03-12,141.149994,141.919998,140.979996,141.869995,134.421036,3665000
2021-03-15,142.130005,142.520004,141.029999,142.399994,134.923233,1818900
2021-03-16,142.119995,142.119995,141.119995,141.449997,134.023117,860700
2021-03-17,141.639999,142.160004,140.869995,142.100006,134.639008,967700
2021-03-18,142.029999,143.110001,141.050003,141.300003,133.880997,1124200
2021-03-19,141.210007,141.399994,139.720001,140.580002,133.198776,1034000
2021-03-22,140.380005,140.949997,139.929993,140.570007,133.189316,686100
2021-03-23,139.889999,140.380005,138.440002,138.779999,131.493317,1011600
2021-03-24,139.350006,140.649994,138.910004,138.910004,131.616486,1237100
2021-03-25,137.929993,140.190002,137.169998,139.979996,133.289459,1381400
2021-03-26,140.770004,142.369995,140.360001,142.229996,135.431946,887600
2021-03-29,141.369995,142.440002,140.889999,141.860001,135.079636,1165200
2021-03-30,141.860001,142.199997,141.509995,141.929993,135.146255,876700
2021-03-31,141.750000,142.020004,141.149994,141.240005,134.489288,912000
2021-04-01,141.500000,142.220001,141.050003,142.179993,135.384338,1023700
2021-04-05,143.160004,143.809998,143.020004,143.500000,136.641251,881800
2021-04-06,143.229996,143.880005,143.199997,143.399994,136.546021,782600
2021-04-07,143.440002,143.889999,142.860001,143.259995,136.412720,689200
2021-04-08,143.259995,143.279999,142.550003,143.210007,136.365128,649600
2021-04-09,143.479996,144.050003,143.149994,144.020004,137.136398,607100
2021-04-12,144.020004,144.279999,143.660004,144.039993,137.155411,483300
2021-04-13,143.529999,143.809998,142.839996,143.500000,136.641251,1062600
2021-04-14,143.389999,144.710007,143.389999,144.080002,137.193542,683100
2021-04-15,144.460007,144.910004,144.029999,144.779999,137.860077,1179500
2021-04-16,145.639999,145.880005,145.250000,145.600006,138.640869,692100
2021-04-19,145.479996,145.610001,144.770004,145.089996,138.155273,913300
2021-04-20,144.500000,144.669998,143.419998,143.839996,136.964981,1006900
2021-04-21,143.690002,145.649994,143.619995,145.490005,138.536118,992900
2021-04-22,145.500000,145.729996,144.100006,144.360001,137.460175,717100
2021-04-23,144.449997,146.039993,144.240005,145.529999,138.574219,536300
2021-04-26,145.789993,146.250000,145.320007,145.460007,138.507568,659300
2021-04-27,145.550003,145.960007,145.130005,145.759995,138.793213,746400
2021-04-28,145.919998,146.309998,145.729996,145.940002,138.964630,854800
2021-04-29,146.759995,147.429993,146.199997,147.289993,140.250107,865500
2021-04-30,146.660004,146.919998,146.029999,146.389999,139.393127,578000
2021-05-03,147.419998,148.070007,147.119995,147.490005,140.440521,521800
2021-05-04,147.139999,147.740005,146.339996,147.740005,140.678589,1246100
2021-05-05,148.130005,148.570007,147.509995,148.130005,141.049942,782200
2021-05-06,148.399994,149.500000,147.699997,149.449997,142.306839,724400
2021-05-07,149.020004,150.759995,148.860001,150.639999,143.440002,708000
2021-05-10,151.360001,152.229996,150.589996,150.610001,143.411423,978500
2021-05-11,149.539993,149.820007,147.729996,148.570007,141.468918,1655200
2021-05-12,148.399994,148.630005,145.850006,145.990005,139.012253,1206200
2021-05-13,145.990005,148.699997,145.960007,147.979996,140.907120,1055100
2021-05-14,148.610001,150.100006,148.610001,149.820007,142.659180,713800
2021-05-17,149.660004,150.089996,149.169998,149.720001,142.563950,562100
2021-05-18,149.759995,149.880005,148.339996,148.440002,141.345139,832800
2021-05-19,146.979996,147.559998,145.570007,147.500000,140.450058,2531600
2021-05-20,147.550003,148.869995,147.229996,148.270004,141.183273,2408200
2021-05-21,148.869995,149.720001,148.470001,148.800003,141.687943,666100
2021-05-24,149.580002,150.000000,149.119995,149.559998,142.411606,1467300
2021-05-25,149.889999,150.039993,148.570007,148.720001,141.611771,737400
2021-05-26,148.990005,149.210007,147.919998,149.029999,141.906937,785300
2021-05-27,149.839996,150.220001,149.440002,149.720001,142.563950,523600
2021-05-28,150.259995,150.259995,149.600006,149.860001,142.697266,885900
2021-06-01,151.089996,151.250000,150.070007,150.339996,143.154327,1250900
2021-06-02,150.699997,150.869995,150.059998,150.669998,143.468567,862600
2021-06-03,149.949997,150.979996,149.660004,150.690002,143.487595,1129700
2021-06-04,151.270004,151.389999,150.690002,151.250000,144.020813,851800
2021-06-07,151.509995,151.509995,150.669998,150.839996,143.630432,454300
2021-06-08,150.800003,150.850006,149.970001,150.639999,143.440002,612000
2021-06-09,150.690002,150.779999,150.089996,150.160004,142.982956,506800
2021-06-10,150.330002,150.639999,149.380005,149.539993,142.898834,528300
2021-06-11,149.880005,150.100006,149.309998,149.789993,143.137726,454600
2021-06-14,149.710007,149.770004,148.369995,149.100006,142.478394,460800
2021-06-15,149.309998,149.559998,148.720001,149.259995,142.631256,512000
