Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,161.960007,162.500000,157.740005,160.070007,154.322342,1049100
2021-01-05,159.330002,161.660004,159.330002,161.520004,155.720261,811800
2021-01-06,159.589996,162.500000,159.020004,160.270004,154.515152,1130400
2021-01-07,161.919998,165.600006,161.919998,165.229996,159.297043,788900
2021-01-08,166.979996,168.070007,165.589996,167.960007,161.929016,1287000
2021-01-11,166.589996,167.630005,165.199997,165.899994,159.942993,982700
2021-01-12,166.179993,167.119995,165.199997,166.880005,160.887817,700700
2021-01-13,166.600006,168.110001,166.039993,167.460007,161.446991,787600
2021-01-14,168.050003,168.529999,166.199997,166.479996,160.502151,8034600
2021-01-15,166.750000,167.119995,164.210007,164.649994,158.737869,2269300
2021-01-19,166.050003,166.610001,165.119995,166.520004,160.540726,1266500
2021-01-20,168.350006,170.210007,168.119995,169.880005,163.780075,1469800
2021-01-21,170.399994,170.860001,169.600006,170.570007,164.445343,1078100
2021-01-22,169.690002,170.940002,169.690002,170.630005,164.503159,661300
2021-01-25,171.990005,173.009995,167.550003,171.160004,165.014114,732600
2021-01-26,171.649994,171.649994,169.050003,169.320007,163.240189,1318400
2021-01-27,167.419998,167.449997,162.580002,163.559998,157.687012,1144200
2021-01-28,163.630005,168.300003,163.630005,166.270004,160.299698,897100
2021-01-29,165.559998,166.380005,162.210007,163.860001,157.976242,1054700
2021-02-01,165.699997,168.229996,164.220001,167.899994,161.871170,1120800
2021-02-02,169.880005,171.830002,169.800003,171.320007,165.168365,2604900
2021-02-03,172.850006,172.850006,170.509995,170.820007,164.686340,1052700
2021-02-04,171.529999,172.740005,170.990005,172.740005,166.537354,613600
2021-02-05,173.300003,174.229996,172.699997,174.110001,167.858200,709400
2021-02-08,175.339996,176.199997,174.779999,175.800003,169.487503,2841300
2021-02-09,175.210007,176.050003,175.169998,175.699997,169.391113,1216700
2021-02-10,176.750000,176.830002,173.429993,175.100006,168.812653,825700
2021-02-11,176.360001,177.210007,175.270004,176.729996,170.384109,768800
2021-02-12,176.479996,178.130005,175.699997,178.039993,171.647064,525100
2021-02-16,178.699997,179.380005,176.600006,177.580002,171.203598,1805300
2021-02-17,175.889999,176.399994,173.550003,176.070007,169.747818,712800
2021-02-18,173.990005,175.410004,172.679993,174.830002,168.552353,578800
2021-02-19,176.080002,176.449997,174.339996,174.610001,168.340225,629800
2021-02-22,172.410004,172.470001,168.220001,168.380005,162.333939,821400
2021-02-23,164.259995,167.740005,159.660004,166.919998,160.926376,4211000
2021-02-24,166.029999,168.160004,164.100006,168.070007,162.035065,1673700
2021-02-25,166.820007,168.169998,160.669998,161.600006,155.797409,2155800
2021-02-26,163.009995,164.820007,160.470001,162.899994,157.050720,2657800
2021-03-01,165.570007,168.080002,164.679993,167.899994,161.871170,1506700
2021-03-02,168.600006,168.720001,164.800003,164.860001,158.940323,1169700
2021-03-03,164.440002,164.710007,158.229996,158.229996,152.548370,2812700
2021-03-04,158.240005,159.100006,151.429993,153.869995,148.344940,3596400
2021-03-05,155.539993,155.539993,147.679993,155.270004,149.694687,3726500
2021-03-08,155.220001,156.410004,149.960007,150.000000,144.613907,2951900
2021-03-09,154.610001,158.410004,154.460007,157.500000,151.844604,2181100
2021-03-10,160.270004,160.910004,156.949997,157.169998,151.526428,2115300
2021-03-11,160.300003,163.039993,159.940002,162.429993,156.597580,1544300
2021-03-12,159.830002,161.059998,158.449997,160.960007,155.180359,1453800
2021-03-15,161.100006,162.850006,160.369995,162.770004,156.925400,872400
2021-03-16,164.000000,164.610001,161.050003,162.119995,156.298691,856000
2021-03-17,160.250000,163.669998,159.059998,162.600006,156.761475,822900
2021-03-18,160.690002,160.690002,156.970001,157.119995,151.478241,1138000
2021-03-19,157.380005,159.039993,156.100006,158.589996,152.895462,1325200
2021-03-22,159.759995,162.100006,159.550003,160.830002,155.055038,838000
2021-03-23,160.880005,162.020004,159.500000,159.990005,154.245193,3722600
2021-03-24,160.429993,160.440002,156.029999,156.029999,150.427399,1756900
2021-03-25,154.279999,156.240005,153.000000,155.639999,150.139923,1232300
2021-03-26,156.220001,158.460007,154.949997,158.410004,152.812012,848800
2021-03-29,157.500000,158.360001,155.960007,157.360001,151.799149,1229100
2021-03-30,156.149994,157.789993,155.440002,157.570007,152.001709,796400
2021-03-31,158.729996,161.850006,158.639999,160.860001,155.175446,825200
2021-04-01,162.839996,164.160004,162.839996,163.410004,157.635345,1431300
2021-04-05,165.089996,166.160004,164.559998,165.729996,159.873352,847600
2021-04-06,165.630005,167.690002,165.570007,166.740005,160.847672,834100
2021-04-07,166.309998,167.389999,165.830002,166.649994,160.760849,771200
2021-04-08,167.929993,169.289993,167.929993,169.270004,163.288254,940100
2021-04-09,168.250000,170.410004,168.100006,170.369995,164.349396,627500
2021-04-12,170.029999,171.339996,169.039993,171.160004,165.111465,538400
2021-04-13,171.910004,174.759995,171.910004,174.520004,168.352753,759400
2021-04-14,175.000000,175.229996,171.660004,171.929993,165.854233,916800
2021-04-15,174.029999,175.550003,173.759995,175.500000,169.298096,965400
2021-04-16,175.350006,175.550003,173.869995,174.970001,168.786835,922700
2021-04-19,173.990005,174.389999,171.529999,172.539993,166.442688,903500
2021-04-20,172.630005,173.339996,169.880005,170.919998,164.879959,675600
2021-04-21,169.830002,172.509995,169.669998,172.369995,166.278717,660800
2021-04-22,172.800003,173.940002,170.429993,171.210007,165.159698,1429000
2021-04-23,171.789993,174.550003,171.789993,173.949997,167.802856,1104400
2021-04-26,174.149994,175.759995,173.729996,175.610001,169.404190,582300
2021-04-27,176.009995,176.330002,174.740005,175.029999,168.844711,774100
2021-04-28,174.929993,175.440002,173.910004,174.350006,168.188751,810900
2021-04-29,175.929993,175.929993,171.899994,173.589996,167.455582,801100
2021-04-30,171.979996,173.789993,171.970001,172.210007,166.124374,648400
2021-05-03,173.039993,173.229996,170.820007,171.029999,164.986053,839900
2021-05-04,169.419998,169.419998,165.160004,167.690002,161.764099,1212800
2021-05-05,168.919998,169.639999,166.320007,166.779999,160.886246,1210800
2021-05-06,166.619995,167.039993,164.589996,167.039993,161.137054,1363400
2021-05-07,168.610001,170.279999,168.250000,168.720001,162.757690,1702100
2021-05-10,168.110001,168.110001,164.419998,164.429993,158.619278,1380400
2021-05-11,160.479996,165.190002,160.360001,164.770004,158.947296,1986300
2021-05-12,162.059998,163.419998,159.330002,159.690002,154.046799,1847700
2021-05-13,161.289993,162.339996,158.610001,160.160004,154.500168,2006200
2021-05-14,162.500000,164.279999,161.460007,163.919998,158.127319,1179700
2021-05-17,162.869995,163.539993,161.039993,162.869995,157.114426,1528500
