Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.050316,0.050336,0.050316,0.050316,0.050316,0
2021-01-04,0.050368,0.050698,0.050141,0.050384,0.050384,0
2021-01-05,0.050146,0.050495,0.049759,0.050144,0.050144,0
2021-01-06,0.050238,0.050785,0.050031,0.050246,0.050246,0
2021-01-07,0.050858,0.050971,0.050154,0.050876,0.050876,0
2021-01-08,0.049998,0.050321,0.049869,0.050000,0.050000,0
2021-01-11,0.049861,0.049919,0.049367,0.049874,0.049874,0
2021-01-12,0.049853,0.050209,0.049721,0.049844,0.049844,0
2021-01-13,0.050528,0.050662,0.050286,0.050519,0.050519,0
2021-01-14,0.050401,0.050717,0.050288,0.050413,0.050413,0
2021-01-15,0.050702,0.050800,0.050278,0.050701,0.050701,0
2021-01-18,0.050390,0.050736,0.050092,0.050394,0.050394,0
2021-01-19,0.050807,0.051062,0.050690,0.050773,0.050773,0
2021-01-20,0.050897,0.051166,0.050848,0.050927,0.050927,0
2021-01-21,0.051059,0.051185,0.050633,0.051059,0.051059,0
2021-01-22,0.050669,0.050734,0.050015,0.050666,0.050666,0
2021-01-25,0.050136,0.050399,0.049420,0.050143,0.050143,0
2021-01-26,0.049724,0.050154,0.049288,0.049738,0.049738,0
2021-01-27,0.050031,0.050043,0.049238,0.050029,0.050029,0
2021-01-28,0.049213,0.049448,0.048892,0.049185,0.049185,0
2021-01-29,0.049360,0.049781,0.049105,0.049377,0.049377,0
2021-02-01,0.048788,0.049373,0.048764,0.048768,0.048768,0
2021-02-02,0.049088,0.049688,0.049055,0.049096,0.049096,0
2021-02-03,0.049652,0.049839,0.049407,0.049658,0.049658,0
2021-02-04,0.049523,0.049588,0.048807,0.049512,0.049512,0
2021-02-05,0.049037,0.049784,0.048978,0.049050,0.049050,0
2021-02-08,0.049722,0.049817,0.049402,0.049723,0.049723,0
2021-02-09,0.049774,0.049975,0.049646,0.049744,0.049744,0
2021-02-10,0.049792,0.049990,0.049640,0.049791,0.049791,0
2021-02-11,0.049922,0.050272,0.049864,0.049927,0.049927,0
2021-02-12,0.050119,0.050210,0.049792,0.050084,0.050084,0
2021-02-15,0.050149,0.050306,0.050059,0.050159,0.050159,0
2021-02-16,0.050094,0.050256,0.049394,0.050127,0.050127,0
2021-02-17,0.049432,0.049627,0.049069,0.049442,0.049442,0
2021-02-18,0.049474,0.049671,0.048856,0.049474,0.049474,0
2021-02-19,0.049242,0.049375,0.048870,0.049241,0.049241,0
2021-02-22,0.048811,0.048908,0.048022,0.048810,0.048810,0
2021-02-23,0.048226,0.048746,0.048162,0.048211,0.048211,0
2021-02-24,0.048746,0.049144,0.048660,0.048749,0.048749,0
2021-02-25,0.049058,0.049080,0.047818,0.049074,0.049074,0
2021-02-26,0.047793,0.048144,0.047519,0.047822,0.047822,0
2021-03-01,0.048105,0.048597,0.047920,0.048101,0.048101,0
2021-03-02,0.048411,0.048581,0.048108,0.048417,0.048417,0
2021-03-03,0.048530,0.048675,0.047783,0.048536,0.048536,0
2021-03-04,0.047693,0.048173,0.047693,0.047719,0.047719,0
2021-03-05,0.047324,0.047451,0.046709,0.047318,0.047318,0
2021-03-08,0.047039,0.047139,0.046228,0.047047,0.047047,0
2021-03-09,0.046531,0.047147,0.046366,0.046528,0.046528,0
2021-03-10,0.047150,0.047730,0.046996,0.047195,0.047195,0
2021-03-11,0.047842,0.048329,0.047795,0.047842,0.047842,0
2021-03-12,0.048499,0.048586,0.047790,0.048508,0.048508,0
2021-03-15,0.048287,0.048473,0.048022,0.048282,0.048282,0
2021-03-16,0.048392,0.048683,0.048243,0.048387,0.048387,0
2021-03-17,0.048537,0.048573,0.048057,0.048545,0.048545,0
2021-03-18,0.049111,0.049316,0.048569,0.049109,0.049109,0
2021-03-19,0.048854,0.049275,0.048671,0.048819,0.048819,0
2021-03-22,0.048412,0.048689,0.048013,0.048401,0.048401,0
2021-03-23,0.048603,0.048681,0.048007,0.048602,0.048602,0
2021-03-24,0.048095,0.048404,0.047887,0.048059,0.048059,0
2021-03-25,0.047868,0.048150,0.047756,0.047886,0.047886,0
2021-03-26,0.048374,0.048703,0.048246,0.048349,0.048349,0
2021-03-29,0.048469,0.048590,0.048111,0.048467,0.048467,0
2021-03-30,0.048529,0.048677,0.048306,0.048526,0.048526,0
2021-03-31,0.048635,0.049009,0.048469,0.048600,0.048600,0
2021-04-01,0.048943,0.049334,0.048795,0.048950,0.048950,0
2021-04-02,0.049311,0.049355,0.049164,0.049282,0.049282,0
2021-04-05,0.049233,0.049464,0.049156,0.049248,0.049248,0
2021-04-06,0.049250,0.049675,0.049079,0.049247,0.049247,0
2021-04-07,0.049593,0.049658,0.049451,0.049568,0.049568,0
2021-04-08,0.049497,0.049849,0.049462,0.049477,0.049477,0
2021-04-09,0.049789,0.049827,0.049449,0.049754,0.049754,0
2021-04-12,0.049592,0.049843,0.049469,0.049602,0.049602,0
2021-04-13,0.049667,0.049912,0.049461,0.049642,0.049642,0
2021-04-14,0.049833,0.049984,0.049689,0.049832,0.049832,0
2021-04-15,0.049818,0.050273,0.049762,0.049786,0.049786,0
2021-04-16,0.050139,0.050265,0.050025,0.050161,0.050161,0
2021-04-19,0.050177,0.050526,0.050159,0.050205,0.050205,0
2021-04-20,0.050499,0.050582,0.050176,0.050471,0.050471,0
2021-04-21,0.050102,0.050366,0.050033,0.050133,0.050133,0
2021-04-22,0.050288,0.050360,0.050055,0.050285,0.050285,0
2021-04-23,0.050178,0.050479,0.050160,0.050168,0.050168,0
2021-04-26,0.050375,0.050538,0.050294,0.050371,0.050371,0
2021-04-27,0.050350,0.050375,0.049965,0.050356,0.050356,0
2021-04-28,0.049889,0.050177,0.049800,0.049919,0.049919,0
2021-04-29,0.050268,0.050362,0.049615,0.050272,0.050272,0
2021-04-30,0.049913,0.049989,0.049479,0.049939,0.049939,0
2021-05-03,0.049475,0.049644,0.049226,0.049515,0.049515,0
2021-05-04,0.049565,0.049565,0.049205,0.049535,0.049535,0
2021-05-05,0.049496,0.049621,0.049379,0.049520,0.049520,0
2021-05-06,0.049390,0.049640,0.049280,0.049380,0.049380,0
2021-05-07,0.049773,0.050389,0.049728,0.049788,0.049788,0
