Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,116.419998,116.470001,113.150002,114.360001,110.036293,949900
2021-01-05,113.940002,115.150002,113.940002,114.820000,110.478905,719000
2021-01-06,114.279999,116.230003,114.000000,115.349998,110.988861,659200
2021-01-07,116.019997,116.889999,115.839996,116.650002,112.239716,667800
2021-01-08,117.099998,117.300003,116.059998,117.220001,112.788177,831500
2021-01-11,116.559998,117.209999,116.339996,116.680000,112.268585,721000
2021-01-12,116.790001,116.790001,115.720001,116.430000,112.028023,990600
2021-01-13,116.610001,116.889999,116.139999,116.470001,112.066528,868100
2021-01-14,116.779999,116.910004,115.699997,115.809998,111.431480,1663900
2021-01-15,115.589996,115.629997,114.550003,115.220001,110.863785,2510900
2021-01-19,115.889999,116.239998,115.449997,116.129997,111.739380,823700
2021-01-20,116.589996,117.669998,116.519997,117.320000,112.884392,1562500
2021-01-21,117.589996,117.860001,117.160004,117.410004,112.970978,1728700
2021-01-22,116.910004,117.180000,116.570000,116.699997,112.287842,4288800
2021-01-25,116.669998,117.070000,115.470001,117.019997,112.595726,4228600
2021-01-26,117.300003,117.440002,116.739998,116.779999,112.364799,3805100
2021-01-27,115.660004,115.660004,113.419998,114.099998,109.786133,2105600
2021-01-28,114.470001,116.580002,114.470001,115.370003,111.008110,837800
2021-01-29,114.970001,114.970001,112.349998,112.919998,108.650757,5358700
2021-02-01,114.070000,114.860001,113.290001,114.459999,110.132530,790800
2021-02-02,115.559998,116.660004,115.489998,116.190002,111.797112,781200
2021-02-03,116.589996,116.589996,115.690002,115.970001,111.585426,1077100
2021-02-04,116.300003,117.379997,116.160004,117.370003,112.932495,1119700
2021-02-05,117.879997,118.230003,117.790001,118.010002,113.548309,883900
2021-02-08,118.419998,118.870003,118.250000,118.839996,114.346916,2200200
2021-02-09,118.620003,118.949997,118.410004,118.760002,114.269951,1062100
2021-02-10,119.370003,119.370003,118.120003,118.860001,114.366173,667000
2021-02-11,119.320000,119.620003,118.750000,119.489998,114.972343,911000
2021-02-12,119.250000,119.879997,119.209999,119.800003,115.270615,891700
