Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,67.419998,67.440002,65.919998,66.720001,62.683079,12992600
2021-01-05,66.620003,66.860001,66.099998,66.720001,62.683079,10871900
2021-01-06,66.589996,67.099998,66.480003,66.769997,62.730053,14206600
2021-01-07,66.820000,66.980003,66.300003,66.570000,62.542156,13963500
2021-01-08,66.620003,66.959999,66.250000,66.900002,62.852188,17960800
2021-01-11,66.529999,66.970001,66.220001,66.330002,62.316677,9648700
2021-01-12,66.330002,66.480003,65.830002,66.110001,62.109989,11089500
2021-01-13,66.040001,66.459999,66.010002,66.209999,62.203945,8337500
2021-01-14,66.269997,66.300003,65.779999,65.860001,61.875114,11549000
2021-01-15,65.620003,65.919998,65.360001,65.629997,61.659031,13260300
2021-01-19,65.849998,65.980003,65.290001,65.339996,61.386574,8130800
2021-01-20,65.320000,65.620003,64.879997,65.459999,61.499321,10700600
2021-01-21,65.360001,65.410004,65.129997,65.239998,61.292625,8461200
2021-01-22,65.190002,65.470001,64.919998,65.070000,61.132915,8329300
2021-01-25,64.870003,65.940002,64.839996,65.720001,61.743591,17486100
2021-01-26,65.800003,66.440002,65.500000,66.309998,62.297886,9304200
2021-01-27,65.940002,66.830002,65.029999,65.190002,61.245655,17826800
2021-01-28,65.320000,66.169998,65.129997,65.440002,61.480526,19925900
2021-01-29,65.190002,65.209999,64.059998,64.089996,60.212208,19374700
2021-02-01,64.360001,64.500000,63.939999,64.150002,60.268581,13283300
2021-02-02,64.400002,65.099998,64.209999,64.580002,60.672569,13278400
2021-02-03,64.430000,64.830002,64.250000,64.680000,60.766521,9542000
2021-02-04,64.739998,65.169998,64.599998,65.150002,61.208076,7292400
2021-02-05,65.550003,65.959999,65.519997,65.760002,61.781174,8889300
2021-02-08,65.970001,66.160004,65.580002,66.010002,62.016041,9412200
2021-02-09,66.019997,66.190002,65.769997,65.949997,61.959660,12345400
2021-02-10,66.260002,66.410004,65.730003,65.879997,61.893909,6957200
2021-02-11,65.949997,65.970001,65.489998,65.589996,61.621449,7478500
2021-02-12,65.529999,65.769997,65.360001,65.690002,61.715401,7131800
2021-02-16,65.809998,65.860001,65.339996,65.570000,61.602665,9246600
2021-02-17,65.320000,65.940002,65.239998,65.809998,61.828140,8871000
2021-02-18,65.220001,65.940002,65.169998,65.769997,61.790558,7464900
2021-02-19,65.820000,65.830002,64.879997,64.940002,61.010784,10246100
2021-02-22,64.769997,65.169998,64.639999,65.000000,61.067146,8649600
2021-02-23,65.209999,65.639999,64.860001,65.089996,61.151699,12743400
2021-02-24,64.919998,65.260002,64.730003,65.050003,61.114132,9103700
2021-02-25,64.949997,65.320000,64.199997,64.339996,60.447083,17558500
2021-02-26,64.470001,64.470001,63.279999,63.299999,59.470016,17718400
2021-03-01,63.750000,64.459999,63.730000,63.939999,60.071289,11263900
2021-03-02,63.869999,64.320000,63.799999,63.830002,59.967941,12942700
2021-03-03,63.660000,64.029999,63.490002,63.529999,59.686096,13450900
2021-03-04,63.660000,64.430000,62.990002,63.299999,59.470016,25968700
2021-03-05,63.570000,64.889999,63.330002,64.699997,60.785301,21719300
2021-03-08,64.720001,65.669998,64.610001,64.980003,61.048367,18947000
2021-03-09,65.199997,65.510002,64.870003,64.919998,60.991997,17259600
2021-03-10,64.970001,66.059998,64.760002,65.769997,61.790558,15827600
2021-03-11,65.839996,66.040001,65.540001,65.610001,61.640247,12386500
2021-03-12,65.849998,66.239998,65.800003,66.150002,62.147579,10518200
2021-03-15,66.389999,66.500000,66.040001,66.440002,62.420025,8383700
2021-03-16,66.360001,66.730003,66.360001,66.519997,62.495174,13550200
2021-03-17,66.550003,66.820000,66.190002,66.419998,62.401234,12254200
2021-03-18,66.250000,66.519997,65.830002,66.150002,62.147579,14497600
2021-03-19,66.220001,66.559998,66.059998,66.379997,62.363651,20807100
2021-03-22,65.910004,66.760002,65.860001,66.720001,63.022018,14499400
2021-03-23,66.709999,67.309998,66.529999,67.000000,63.286499,13216300
2021-03-24,66.839996,67.169998,66.580002,66.739998,63.040916,15831000
2021-03-25,66.830002,67.470001,66.500000,67.389999,63.654888,14764000
2021-03-26,67.470001,68.620003,67.279999,68.580002,64.778938,15098600
2021-03-29,68.379997,69.330002,68.349998,69.269997,65.430679,11857300
2021-03-30,69.139999,69.209999,68.400002,68.529999,64.731697,14042700
2021-03-31,68.500000,68.779999,68.160004,68.309998,64.523895,18241100
2021-04-01,68.040001,68.330002,67.529999,67.980003,64.212189,21191800
2021-04-05,68.269997,69.220001,68.150002,68.849998,65.033966,20093000
2021-04-06,68.730003,69.400002,68.680000,69.139999,65.307899,19302100
2021-04-07,69.260002,69.349998,68.879997,68.970001,65.147324,20763900
2021-04-08,68.940002,69.180000,68.860001,69.040001,65.213448,10244700
2021-04-09,69.050003,69.209999,68.500000,68.919998,65.100082,7020400
2021-04-12,69.010002,69.300003,68.919998,69.290001,65.449585,10117800
2021-04-13,68.989998,69.180000,68.830002,68.919998,65.100082,11982600
2021-04-14,68.879997,68.959999,68.570000,68.860001,65.043419,12087500
2021-04-15,69.019997,69.519997,69.019997,69.410004,65.562927,7714900
2021-04-16,69.699997,69.949997,69.430000,69.809998,65.940758,7810000
2021-04-19,69.820000,69.959999,69.320000,69.540001,65.685722,10867400
2021-04-20,69.050003,70.139999,68.949997,69.919998,66.044655,13168800
2021-04-21,70.000000,70.470001,70.000000,70.269997,66.375267,10794900
2021-04-22,70.150002,70.190002,69.599998,69.750000,65.884079,10762900
2021-04-23,69.610001,69.790001,69.290001,69.570000,65.714058,9133800
2021-04-26,69.529999,69.529999,68.690002,68.790001,64.977303,8750100
2021-04-27,68.750000,68.889999,68.440002,68.739998,64.930061,10078900
2021-04-28,69.019997,69.180000,68.709999,68.790001,64.977303,7925300
2021-04-29,68.760002,69.629997,68.760002,69.519997,65.666832,9202600
2021-04-30,69.519997,69.610001,69.239998,69.580002,65.723511,10784800
2021-05-03,69.730003,70.410004,69.660004,70.150002,66.261917,12671500
2021-05-04,70.000000,70.269997,69.570000,69.790001,65.921867,11147300
2021-05-05,69.769997,69.870003,69.500000,69.739998,65.874641,8726200
2021-05-06,69.870003,70.660004,69.870003,70.639999,66.724747,10192000
2021-05-07,70.529999,70.860001,70.360001,70.639999,66.724747,9841800
2021-05-10,70.940002,71.639999,70.879997,71.180000,67.234833,10558400
2021-05-11,71.209999,71.360001,70.239998,70.559998,66.649185,14385700
2021-05-12,70.400002,70.480003,69.610001,69.620003,65.761299,13223100
2021-05-13,69.610001,70.919998,69.529999,70.599998,66.686981,18490900
2021-05-14,70.870003,71.330002,70.830002,70.910004,66.979790,9672600
2021-05-17,70.949997,71.260002,70.660004,70.809998,66.885338,10705800
2021-05-18,70.889999,71.169998,70.550003,70.589996,66.677521,11168900
2021-05-19,70.250000,70.459999,69.860001,70.360001,66.460281,13709500
2021-05-20,70.370003,71.260002,70.330002,71.010002,67.074249,11336300
2021-05-21,71.190002,71.480003,70.889999,71.019997,67.083702,7779600
2021-05-24,71.110001,71.480003,70.970001,71.230003,67.282059,6535900
2021-05-25,71.279999,71.309998,70.820000,71.250000,67.300949,8271800
2021-05-26,71.290001,71.360001,70.970001,71.099998,67.159256,10622500
2021-05-27,71.220001,71.449997,70.589996,70.660004,66.743652,12693900
2021-05-28,70.769997,71.110001,70.760002,70.809998,66.885338,8476400
2021-06-01,71.080002,71.260002,70.330002,70.570000,66.658638,8893800
2021-06-02,70.669998,70.959999,70.500000,70.830002,66.904213,6411300
2021-06-03,70.620003,71.330002,70.620003,71.269997,67.319839,9410000
2021-06-04,71.480003,71.690002,71.290001,71.519997,67.555984,6078200
2021-06-07,71.529999,71.620003,71.080002,71.400002,67.442627,7306900
2021-06-08,71.419998,71.510002,70.790001,70.800003,66.875877,8545200
2021-06-09,70.669998,71.019997,70.440002,70.459999,66.554726,8273800
2021-06-10,70.589996,71.080002,70.559998,70.900002,66.970345,8213000
2021-06-11,71.040001,71.070000,70.599998,70.940002,67.008133,6232300
2021-06-14,70.879997,70.919998,70.470001,70.900002,66.970345,10449400
2021-06-15,70.959999,71.120003,70.660004,70.730003,66.809761,5151600
2021-06-16,70.750000,70.830002,69.769997,69.790001,65.921867,10507100
2021-06-17,69.800003,70.190002,69.610001,70.040001,66.158012,9239700
2021-06-18,69.559998,69.650002,68.779999,68.800003,64.986748,16882500
2021-06-21,68.760002,69.209999,68.720001,69.139999,65.732101,14278400
2021-06-22,69.150002,69.529999,69.040001,69.239998,65.827164,8351000
2021-06-23,69.180000,69.190002,68.809998,68.809998,65.418365,7072900
2021-06-24,68.830002,69.230003,68.769997,69.150002,65.741608,6343700
2021-06-25,69.190002,69.760002,69.070000,69.680000,66.245483,9241300
2021-06-28,69.730003,69.930000,69.580002,69.739998,66.302528,7570600
2021-06-29,69.779999,69.900002,69.320000,69.430000,66.007813,13155400
2021-06-30,69.580002,70.059998,69.550003,69.970001,66.521179,8815100
2021-07-01,70.000000,70.169998,69.650002,69.760002,66.321548,11633100
2021-07-02,69.919998,70.139999,69.830002,69.930000,66.483154,20733300
2021-07-06,69.769997,69.800003,69.309998,69.639999,66.207451,7595700
2021-07-07,69.620003,70.279999,69.610001,70.010002,66.559212,7880500
2021-07-08,69.680000,70.059998,69.480003,69.750000,66.312027,9212900
2021-07-09,70.019997,70.279999,69.879997,70.150002,66.692314,6286900
2021-07-12,70.029999,70.139999,69.769997,70.040001,66.587738,7384200
2021-07-13,70.019997,70.449997,69.879997,70.019997,66.568726,12057600
2021-07-14,70.110001,70.739998,70.010002,70.639999,67.158157,7616100
2021-07-15,70.529999,70.940002,70.330002,70.930000,67.433868,8662500
2021-07-16,71.050003,71.309998,70.949997,71.040001,67.538437,8634300
2021-07-19,70.800003,71.269997,70.199997,70.830002,67.338791,20734400
2021-07-20,70.820000,71.540001,70.660004,70.849998,67.357803,20404900
2021-07-21,71.180000,71.239998,70.650002,70.669998,67.186691,9366300
2021-07-22,70.489998,70.739998,70.099998,70.550003,67.072594,9632100
